StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q1_17_TEXT,Q2,Q2_6_TEXT,Q3,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q7,Q7_10_TEXT,Q8_1,Q19_1,Q11_1,Q12,Q12
2026-02-17 15:07:28,2026-02-17 15:08:54,IP Address,169.228.73.18,100,85,True,2026-02-17 15:08:54,R_6Q6O9it4RHaMk7g,,,,,32.8425,-117.2484,anonymous,EN,Business/Business Economics,,Senior,,Yes,"ChatGPT,Google Gemini",50,30,,,"Studying (Learning, exam preparation, tutoring, practice problems, flashcards),Research (Finding sources, gathering data, citations),Writing (Essays, e-Mails, templates, tone detection/improvement, rewriting, editing),Coding (Programming assistance, debugging, examples),Problem-Solving / Arithmetic: (Math, logic, step-by-step solutions)",,10,10,308,$1 Million - $10 Million,More than 24 months
2026-02-17 15:09:16,2026-02-17 15:10:53,IP Address,64.31.55.119,100,96,True,2026-02-17 15:10:53,R_6goxHyLQWRY9inq,,,,,34.0544,-118.244,anonymous,EN,Biology/Chemistry/life sciences,,Junior,,Yes,"ChatGPT,Google Gemini",30,2,,,"Studying (Learning, exam preparation, tutoring, practice problems, flashcards),Conversational (Chatting, companionship, brainstorming, inquiring),Research (Finding sources, gathering data, citations),Writing (Essays, e-Mails, templates, tone detection/improvement, rewriting, editing),Summarization / Paraphrasing (Condensing articles, lectures, PDF’s, restructuring writing),Problem-Solving / Arithmetic: (Math, logic, step-by-step solutions),Planning / Scheduling: (Categorization, sorting, estimates),Creativity (Image generation, script-writing, stories)",,6,5,500,"$10,000 - $100,000",6-12 months
2026-02-17 15:06:49,2026-02-17 15:14:37,IP Address,69.196.47.193,100,468,True,2026-02-17 15:14:37,R_6KphTUoetNEEf9v,,,,,32.8595,-117.2124,anonymous,EN,Cognitive Science,,Junior,,Yes,ChatGPT,20,,,,"Studying (Learning, exam preparation, tutoring, practice problems, flashcards),Coding (Programming assistance, debugging, examples),Problem-Solving / Arithmetic: (Math, logic, step-by-step solutions)",,9,5,904,"$100,000 - $1 Million",3-6 months
2026-02-17 15:11:38,2026-02-17 15:14:39,IP Address,128.54.24.128,100,181,True,2026-02-17 15:14:39,R_35tTAxK4IkuhCcV,,,,,32.8595,-117.2124,anonymous,EN,Other,Sociology,Senior,,Yes,ChatGPT,7,,,,"Studying (Learning, exam preparation, tutoring, practice problems, flashcards),Writing (Essays, e-Mails, templates, tone detection/improvement, rewriting, editing),Summarization / Paraphrasing (Condensing articles, lectures, PDF’s, restructuring writing),Planning / Scheduling: (Categorization, sorting, estimates)",,5,4,244,"$100,000 - $1 Million",6-12 months
2026-02-17 15:13:15,2026-02-17 15:14:59,IP Address,69.196.44.18,100,104,True,2026-02-17 15:15:00,R_5O795kPQxOcmVLX,,,,,32.8595,-117.2124,anonymous,EN,Mathematics and Statistics,,Senior,,Yes,ChatGPT,30,,,,"Studying (Learning, exam preparation, tutoring, practice problems, flashcards),Summarization / Paraphrasing (Condensing articles, lectures, PDF’s, restructuring writing),Problem-Solving / Arithmetic: (Math, logic, step-by-step solutions)",,4,4,493,$10 Million - $100 Million,12-24 months
2026-02-17 15:22:32,2026-02-17 15:24:30,IP Address,128.54.28.118,100,118,True,2026-02-17 15:24:30,R_3d4RHjc3x9HRTQE,,,,,32.8595,-117.2124,anonymous,EN,Biology/Chemistry/life sciences,,Junior,,Yes,"ChatGPT,Google Gemini",1,3,,,"Studying (Learning, exam preparation, tutoring, practice problems, flashcards),Summarization / Paraphrasing (Condensing articles, lectures, PDF’s, restructuring writing)",,7,9,601,"$100,000 - $1 Million",1-3 months
2026-02-17 15:28:31,2026-02-17 15:29:53,IP Address,169.228.77.4,100,81,True,2026-02-17 15:29:54,R_7Ev7lebqOJIrP1M,,,,,33.8495,-118.0084,anonymous,EN,Cognitive Science,,Junior,,Yes,"ChatGPT,Google Gemini,Claude (Anthropic)",100,20,0,,"Studying (Learning, exam preparation, tutoring, practice problems, flashcards),Conversational (Chatting, companionship, brainstorming, inquiring),Research (Finding sources, gathering data, citations),Writing (Essays, e-Mails, templates, tone detection/improvement, rewriting, editing),Coding (Programming assistance, debugging, examples),Summarization / Paraphrasing (Condensing articles, lectures, PDF’s, restructuring writing),Problem-Solving / Arithmetic: (Math, logic, step-by-step solutions),Planning / Scheduling: (Categorization, sorting, estimates)",,4,4,204,"$100,000 - $1 Million",6-12 months
2026-02-17 15:51:53,2026-02-17 15:53:19,IP Address,174.195.130.108,100,86,True,2026-02-17 15:53:20,R_3wBsAnqVq2LW6NQ,,,,,34.0772,-117.4506,anonymous,EN,Psychology,,Senior,,Yes,ChatGPT,1,,,,"Research (Finding sources, gathering data, citations),Summarization / Paraphrasing (Condensing articles, lectures, PDF’s, restructuring writing)",,6,8,278,"$10,000 - $100,000",6-12 months
2026-02-17 15:58:54,2026-02-17 15:59:50,IP Address,107.132.34.141,100,56,True,2026-02-17 15:59:51,R_6pLJUVOeK7MAvn8,,,,,32.8595,-117.2124,anonymous,EN,Computer and information sciences,,Senior,,Yes,"ChatGPT,Google Gemini,Claude (Anthropic)",10,700,50,,"Studying (Learning, exam preparation, tutoring, practice problems, flashcards),Conversational (Chatting, companionship, brainstorming, inquiring),Research (Finding sources, gathering data, citations),Writing (Essays, e-Mails, templates, tone detection/improvement, rewriting, editing),Coding (Programming assistance, debugging, examples),Summarization / Paraphrasing (Condensing articles, lectures, PDF’s, restructuring writing),Problem-Solving / Arithmetic: (Math, logic, step-by-step solutions),Planning / Scheduling: (Categorization, sorting, estimates),Creativity (Image generation, script-writing, stories)",,8,10,414,$10 Million - $100 Million,6-12 months
2026-02-17 18:58:48,2026-02-17 18:59:09,IP Address,174.195.196.246,100,21,True,2026-02-17 18:59:09,R_6QVOGwLbpivCPI4,,,,,33.9249,-117.4592,anonymous,EN,Other,History,Junior,,No,,,,,,,,,,,,
2026-02-17 14:02:37,2026-02-17 19:39:12,IP Address,73.48.164.68,100,20195,True,2026-02-17 19:39:12,R_3LRsa8Gck88C0Vd,,,,,38.5347,-121.4442,anonymous,EN,Other,"Visual Arts, Media",Senior,,Yes,ChatGPT,15,,,,"Conversational (Chatting, companionship, brainstorming, inquiring),Writing (Essays, e-Mails, templates, tone detection/improvement, rewriting, editing),Planning / Scheduling: (Categorization, sorting, estimates),Creativity (Image generation, script-writing, stories)",,1,2,641,$1 Million - $10 Million,More than 24 months
2026-02-17 19:53:53,2026-02-17 19:55:06,IP Address,73.151.68.64,100,73,True,2026-02-17 19:55:06,R_3NjaYVvg28gOCxb,,,,,38.4063,-121.4287,anonymous,EN,Psychology,,Junior,,Yes,ChatGPT,"20 ",,,,"Studying (Learning, exam preparation, tutoring, practice problems, flashcards),Conversational (Chatting, companionship, brainstorming, inquiring),Research (Finding sources, gathering data, citations),Writing (Essays, e-Mails, templates, tone detection/improvement, rewriting, editing),Coding (Programming assistance, debugging, examples),Summarization / Paraphrasing (Condensing articles, lectures, PDF’s, restructuring writing),Problem-Solving / Arithmetic: (Math, logic, step-by-step solutions),Planning / Scheduling: (Categorization, sorting, estimates),Creativity (Image generation, script-writing, stories)",,2,5,526,$10 Million - $100 Million,1-3 months
2026-02-17 23:53:59,2026-02-17 23:59:23,IP Address,66.75.248.82,100,323,True,2026-02-17 23:59:23,R_7xE85rvt9Wjn7gu,,,,,32.8425,-117.2484,anonymous,EN,Cognitive Science,,Junior,,Yes,ChatGPT,8,,,,"Studying (Learning, exam preparation, tutoring, practice problems, flashcards),Writing (Essays, e-Mails, templates, tone detection/improvement, rewriting, editing),Coding (Programming assistance, debugging, examples),Summarization / Paraphrasing (Condensing articles, lectures, PDF’s, restructuring writing)",,8,5,400,$1 Million - $10 Million,More than 24 months
2026-02-18 12:58:27,2026-02-18 12:58:39,IP Address,128.54.179.176,100,11,True,2026-02-18 12:58:40,R_7JgaVcWh2ZvyeMj,,,,,32.8509,-117.2722,anonymous,EN,Biology/Chemistry/life sciences,,Freshman,,No,,,,,,,,,,,,
2026-02-18 13:02:58,2026-02-18 13:04:51,IP Address,128.54.129.42,100,113,True,2026-02-18 13:04:52,R_17g2sQcGklccrz9,,,,,32.8509,-117.2722,anonymous,EN,Other,Sociology,Sophmore,,Yes,ChatGPT,3,,,,"Studying (Learning, exam preparation, tutoring, practice problems, flashcards),Problem-Solving / Arithmetic: (Math, logic, step-by-step solutions)",,4,3,519,$1 Million - $10 Million,6-12 months
2026-02-18 13:04:30,2026-02-18 13:05:28,IP Address,137.110.74.112,100,58,True,2026-02-18 13:05:29,R_1bPPUzNoSu4bQbq,,,,,32.8595,-117.2124,anonymous,EN,Computer and information sciences,,Freshman,,Yes,"ChatGPT,Google Gemini,Claude (Anthropic)",3938,29282828,19929282727327727282828282,,"Studying (Learning, exam preparation, tutoring, practice problems, flashcards),Conversational (Chatting, companionship, brainstorming, inquiring),Research (Finding sources, gathering data, citations),Writing (Essays, e-Mails, templates, tone detection/improvement, rewriting, editing),Coding (Programming assistance, debugging, examples),Summarization / Paraphrasing (Condensing articles, lectures, PDF’s, restructuring writing),Problem-Solving / Arithmetic: (Math, logic, step-by-step solutions),Planning / Scheduling: (Categorization, sorting, estimates),Creativity (Image generation, script-writing, stories)",,10,1,307,$10 Million - $100 Million,12-24 months
2026-02-18 13:09:29,2026-02-18 13:10:37,IP Address,128.54.154.220,100,67,True,2026-02-18 13:10:37,R_3MLlNXQg2Ag2Kw5,,,,,33.9576,-118.267,anonymous,EN,Biology/Chemistry/life sciences,,Junior,,Yes,ChatGPT,2,,,,"Studying (Learning, exam preparation, tutoring, practice problems, flashcards)",,5,10,535,$1 Million - $10 Million,6-12 months
2026-02-18 14:24:58,2026-02-18 14:25:56,IP Address,169.228.161.66,100,58,True,2026-02-18 14:25:57,R_3MoiaZPJXGnWXCW,,,,,32.9511,-117.2241,anonymous,EN,Biology/Chemistry/life sciences,,Senior,,Yes,Claude (Anthropic),,,3,,"Studying (Learning, exam preparation, tutoring, practice problems, flashcards),Research (Finding sources, gathering data, citations),Writing (Essays, e-Mails, templates, tone detection/improvement, rewriting, editing),Summarization / Paraphrasing (Condensing articles, lectures, PDF’s, restructuring writing)",,5,10,478,$1 Million - $10 Million,More than 24 months
2026-02-18 15:05:45,2026-02-18 15:07:57,IP Address,107.77.230.150,100,131,True,2026-02-18 15:07:57,R_6jMRrgWs5X4y0wW,,,,,34.0544,-118.244,anonymous,EN,Other,Environmental Systems,Sophmore,,Yes,ChatGPT,5,,,,"Studying (Learning, exam preparation, tutoring, practice problems, flashcards),Writing (Essays, e-Mails, templates, tone detection/improvement, rewriting, editing),Problem-Solving / Arithmetic: (Math, logic, step-by-step solutions)",,5,3,784,"$100,000 - $1 Million",3-6 months
2026-02-18 15:15:36,2026-02-18 15:16:43,IP Address,128.54.236.177,100,66,True,2026-02-18 15:16:43,R_3gYqLIAT4pecxNz,,,,,32.8509,-117.2722,anonymous,EN,Biology/Chemistry/life sciences,,Freshman,,Yes,"ChatGPT,Google Gemini",2,2,,,"Studying (Learning, exam preparation, tutoring, practice problems, flashcards),Summarization / Paraphrasing (Condensing articles, lectures, PDF’s, restructuring writing),Problem-Solving / Arithmetic: (Math, logic, step-by-step solutions)",,10,10,681,$1 Million - $10 Million,More than 24 months
2026-02-18 16:43:00,2026-02-18 16:43:15,IP Address,128.54.188.32,100,15,True,2026-02-18 16:43:16,R_70eFxbNyropXb2j,,,,,32.8509,-117.2722,anonymous,EN,Mathematics and Statistics,,Sophmore,,No,,,,,,,,,,,,
2026-02-18 19:12:39,2026-02-18 19:13:45,IP Address,75.80.51.46,100,66,True,2026-02-18 19:13:46,R_72SQB797BV5iuIh,,,,,32.8425,-117.2484,anonymous,EN,Other,Public Health,Junior,,Yes,ChatGPT,12,,,,"Studying (Learning, exam preparation, tutoring, practice problems, flashcards),Research (Finding sources, gathering data, citations),Writing (Essays, e-Mails, templates, tone detection/improvement, rewriting, editing)",,8,5,523,"$10,000 - $100,000",3-6 months
2026-02-18 20:22:37,2026-02-18 20:22:53,IP Address,68.5.188.158,100,15,True,2026-02-18 20:22:54,R_3mLZxrDZ7RhvJpn,,,,,33.5679,-117.7046,anonymous,EN,English,,Junior,,No,,,,,,,,,,,,
2026-02-18 23:02:22,2026-02-18 23:05:57,IP Address,128.54.253.98,100,215,True,2026-02-18 23:05:58,R_6LXrR06cN6dKcaP,,,,,34.0286,-117.8103,anonymous,EN,Other,,Junior,,Yes,"ChatGPT,Google Gemini",4,2,,,"Studying (Learning, exam preparation, tutoring, practice problems, flashcards),Coding (Programming assistance, debugging, examples),Problem-Solving / Arithmetic: (Math, logic, step-by-step solutions)",,8,8,903,$1 Million - $10 Million,1-3 months
2026-02-19 01:28:06,2026-02-19 01:30:13,IP Address,128.54.253.212,100,127,True,2026-02-19 01:30:13,R_3zj4NmjWhhb3Dwn,,,,,34.0286,-117.8103,anonymous,EN,Computer and information sciences,,Sophmore,,Yes,"ChatGPT,Google Gemini",50,5,,,"Studying (Learning, exam preparation, tutoring, practice problems, flashcards),Research (Finding sources, gathering data, citations),Writing (Essays, e-Mails, templates, tone detection/improvement, rewriting, editing),Coding (Programming assistance, debugging, examples),Summarization / Paraphrasing (Condensing articles, lectures, PDF’s, restructuring writing),Problem-Solving / Arithmetic: (Math, logic, step-by-step solutions),Planning / Scheduling: (Categorization, sorting, estimates)",,5,10,276,"$10,000 - $100,000",6-12 months
2026-02-19 02:39:42,2026-02-19 02:41:07,IP Address,68.101.174.26,100,84,True,2026-02-19 02:41:07,R_5xdok4yjtU95lBv,,,,,32.6387,-117.0801,anonymous,EN,Biology/Chemistry/life sciences,,Junior,,Yes,ChatGPT,70,,,,"Studying (Learning, exam preparation, tutoring, practice problems, flashcards),Conversational (Chatting, companionship, brainstorming, inquiring),Research (Finding sources, gathering data, citations),Writing (Essays, e-Mails, templates, tone detection/improvement, rewriting, editing),Summarization / Paraphrasing (Condensing articles, lectures, PDF’s, restructuring writing)",,3,2,592,"$10,000 - $100,000",12-24 months
2026-02-19 10:33:30,2026-02-19 10:33:52,IP Address,128.54.6.58,100,22,True,2026-02-19 10:33:52,R_5C4kUJ68Y2EMmad,,,,,32.8595,-117.2124,anonymous,EN,Engineering,,Sophmore,,No,,,,,,,,,,,,
2026-02-17 14:13:50,2026-02-19 14:08:58,IP Address,69.196.47.85,100,172508,True,2026-02-19 14:08:59,R_7P4EMOk5fnEZOTh,,,,,32.8595,-117.2124,anonymous,EN,Biology/Chemistry/life sciences,,Senior,,No,,,,,,,,,,,,
2026-02-12 14:45:43,2026-02-12 14:45:48,IP Address,137.110.82.221,7,4,False,2026-02-19 14:45:49,R_1XMD2Hk19qkdXGx,,,,,32.9511,-117.2241,qr,EN,,,,,,,,,,,,,,,,,
2026-02-12 14:55:22,2026-02-12 14:55:27,IP Address,137.110.82.221,7,4,False,2026-02-19 14:55:33,R_1eMRhh5MdT2q27D,,,,,32.9511,-117.2241,qr,EN,,,,,,,,,,,,,,,,,
2026-02-12 15:03:28,2026-02-12 15:03:32,IP Address,128.54.14.18,7,4,False,2026-02-19 15:03:33,R_1ovlxa9x0ADpXoJ,,,,,32.8595,-117.2124,qr,EN,,,,,,,,,,,,,,,,,
2026-02-20 11:32:45,2026-02-20 11:36:11,IP Address,128.54.5.65,100,205,True,2026-02-20 11:36:11,R_7RReyGv21ex0BfY,,,,,32.8595,-117.2124,qr,EN,Data Science,,Senior,,Yes,"ChatGPT,Google Gemini,Claude (Anthropic)",50,2,4i,,"Studying (Learning, exam preparation, tutoring, practice problems, flashcards),Conversational (Chatting, companionship, brainstorming, inquiring),Writing (Essays, e-Mails, templates, tone detection/improvement, rewriting, editing),Coding (Programming assistance, debugging, examples),Problem-Solving / Arithmetic: (Math, logic, step-by-step solutions)",,1,0,0,"$10,000 - $100,000",6-12 months
2026-02-21 16:50:16,2026-02-21 16:50:40,IP Address,104.177.116.59,100,24,True,2026-02-21 16:50:40,R_3gu8L7cpTzWRQu5,,,,,32.8595,-117.2124,anonymous,EN,Biology/Chemistry/life sciences,,Junior,,No,,,,,,,,,,,,
2026-02-23 11:03:04,2026-02-23 11:03:17,IP Address,128.54.1.168,100,13,True,2026-02-23 11:03:18,R_7jVcg1VbzoyRZBK,,,,,32.8595,-117.2124,qr,EN,Cognitive Science,,Senior,,No,,,,,,,,,,,,
2026-02-23 11:02:54,2026-02-23 11:04:12,IP Address,128.54.29.168,100,78,True,2026-02-23 11:04:12,R_307OLq93BubV0YL,,,,,32.8595,-117.2124,qr,EN,Other,Political Science,Senior,,Yes,"ChatGPT,Google Gemini",10,5,,,"Research (Finding sources, gathering data, citations),Coding (Programming assistance, debugging, examples)",,8,3,555,"$100,000 - $1 Million",12-24 months
2026-02-23 11:03:03,2026-02-23 11:04:24,IP Address,128.54.49.91,100,81,True,2026-02-23 11:04:25,R_6phZb6PveHg7ohb,,,,,32.8595,-117.2124,qr,EN,Mathematics and Statistics,,Sophmore,,Yes,"Google Gemini,Claude (Anthropic)",,20,20,,"Studying (Learning, exam preparation, tutoring, practice problems, flashcards),Conversational (Chatting, companionship, brainstorming, inquiring),Coding (Programming assistance, debugging, examples),Problem-Solving / Arithmetic: (Math, logic, step-by-step solutions)",,5,10,403,$1 Million - $10 Million,More than 24 months
2026-02-23 11:02:55,2026-02-23 11:05:34,IP Address,128.54.25.25,100,159,True,2026-02-23 11:05:35,R_3FLFr59B7AnpUi3,,,,,32.8595,-117.2124,qr,EN,Cognitive Science,,Junior,,Yes,ChatGPT,10,,,,"Studying (Learning, exam preparation, tutoring, practice problems, flashcards),Coding (Programming assistance, debugging, examples),Problem-Solving / Arithmetic: (Math, logic, step-by-step solutions)",,7,5,506,"$100,000 - $1 Million",More than 24 months
2026-02-23 11:05:18,2026-02-23 11:07:53,IP Address,128.54.13.236,100,155,True,2026-02-23 11:07:54,R_6PQdhMELQ0KbfX3,,,,,32.8595,-117.2124,qr,EN,"Cognitive Science,Psychology",,Junior,,Yes,"ChatGPT,Google Gemini",50,50,,,"Studying (Learning, exam preparation, tutoring, practice problems, flashcards),Conversational (Chatting, companionship, brainstorming, inquiring),Coding (Programming assistance, debugging, examples),Planning / Scheduling: (Categorization, sorting, estimates)",,7,10,585,"$10,000 - $100,000",3-6 months
2026-02-23 11:02:43,2026-02-23 11:08:03,IP Address,207.213.53.37,100,320,True,2026-02-23 11:08:03,R_3CZWWP2tvLmxgn7,,,,,32.7104,-117.0528,qr,EN,Mathematics and Statistics,,Junior,,Yes,"ChatGPT,Google Gemini",50,200,,,"Studying (Learning, exam preparation, tutoring, practice problems, flashcards),Research (Finding sources, gathering data, citations),Coding (Programming assistance, debugging, examples),Summarization / Paraphrasing (Condensing articles, lectures, PDF’s, restructuring writing),Problem-Solving / Arithmetic: (Math, logic, step-by-step solutions),Creativity (Image generation, script-writing, stories)",,8,9,656,$1 Million - $10 Million,More than 24 months
2026-02-23 11:02:57,2026-02-23 11:11:53,IP Address,128.54.4.152,100,535,True,2026-02-23 11:11:53,R_7odqEknfejVuW6A,,,,,32.7994,-117.1686,qr,EN,Cognitive Science,,Sophmore,,Yes,"ChatGPT,Google Gemini",10,20,,,"Studying (Learning, exam preparation, tutoring, practice problems, flashcards),Research (Finding sources, gathering data, citations),Writing (Essays, e-Mails, templates, tone detection/improvement, rewriting, editing),Coding (Programming assistance, debugging, examples),Summarization / Paraphrasing (Condensing articles, lectures, PDF’s, restructuring writing)",,10,10,1000,$1 Million - $10 Million,More than 24 months
2026-02-23 11:04:34,2026-02-23 11:32:56,IP Address,172.56.182.201,100,1701,True,2026-02-23 11:32:56,R_6My8uQfytkdXpJp,,,,,32.8003,-117.2438,qr,EN,Data Science,,Junior,,Yes,"ChatGPT,Claude (Anthropic)",20,,5,,"Studying (Learning, exam preparation, tutoring, practice problems, flashcards),Research (Finding sources, gathering data, citations),Coding (Programming assistance, debugging, examples),Problem-Solving / Arithmetic: (Math, logic, step-by-step solutions)",,4,3,255,"$100,000 - $1 Million",3-6 months
2026-02-23 12:56:14,2026-02-23 12:58:08,IP Address,128.54.210.91,100,114,True,2026-02-23 12:58:08,R_1qsXh8EFgi26KYC,,,,,32.8509,-117.2722,qr,EN,Other,economics,Senior,,Yes,ChatGPT,100,,,,"Studying (Learning, exam preparation, tutoring, practice problems, flashcards),Writing (Essays, e-Mails, templates, tone detection/improvement, rewriting, editing),Coding (Programming assistance, debugging, examples),Summarization / Paraphrasing (Condensing articles, lectures, PDF’s, restructuring writing),Problem-Solving / Arithmetic: (Math, logic, step-by-step solutions)",,2,5,369,"$100,000 - $1 Million",12-24 months
2026-02-23 13:03:32,2026-02-23 13:04:27,IP Address,128.54.134.36,100,54,True,2026-02-23 13:04:27,R_5XgI7gbIWVshrkK,,,,,34.0286,-117.8103,anonymous,EN,Other,ESYS Earth Science,Sophmore,,No,,,,,,,,,,,,
